ID	Name	Sex	Treatment	t_limp	n_limb	n_abeb	n_trec	n_and	n_vooc	n_pulp	n_darp	t_com	n_def	t_beb	t_for	t_obs	n_pulo	n_estp	t_cant	n_vocc	t_rel	n_conf
13	F10	F	100	0	0	4	3	0	4	3	0	0	0	0	0	250.057	4	5	0	0	30.227	0
13	F10	F	50	0	3	2	1	0	5	9	0	163.166	0	0	0	97.199	7	5	0	0	0	0
13	F10	F	0	0	0	2	0	0	0	0	0	0	0	0	0	251.654	0	5	0	0	45.541	0
14	F14	F	100	0	2	4	1	0	0	0	0	0	0	0	0	251.049	0	2	0	0	0	0
14	F14	F	50	1.802	9	3	1	0	1	0	0	142.344	0	0	0	139.242	0	3	0	0	0	0
14	F14	F	0	0	1	0	1	0	8	2	0	0	0	0	0	280.295	10	2	0	5	0	0
15	F08	F	100	0	0	0	0	0	2	22	0	12.639	0	0	39.533	188.461	11	2	0	0	0	0
15	F08	F	50	0	0	1	0	0	0	0	0	221.316	0	0	0	73.674	0	0	0	0	0	0
15	F08	F	0	0	0	0	1	0	8	18	0	110.316	0	0	10.21	129.612	9	2	0	2	0	0
16	F09	F	100	0	0	0	5	0	0	0	0	0	0	0	0	291.691	0	1	0	0	7.507	0
16	F09	F	50	0	0	0	0	0	0	0	0	0	0	0	0	254.357	0	0	0	0	40.643	0
16	F09	F	0	0	0	2	0	0	0	0	0	0	0	0	0	270.969	0	1	0	0	24.529	0
17	F13	F	100	0.5	0	0	0	0	2	0	0	0	0	0	0	297.498	9	2	0	0	0	0
17	F13	F	50	0	0	0	0	0	1	15	0	0	0	0	0	270.573	16	2	0	0	0	0
17	F13	F	0	0	0	0	0	0	0	2	0	0	0	0	0	294.788	7	4	0	0	0	0
18	F11	F	100	0	1	1	1	0	0	0	0	266.864	0	0	0	30.727	1	1	0	0	0	0
18	F11	F	50	0	0	1	0	0	0	0	0	0	0	0	0	199.194	0	0	0	0	94.182	0
18	F11	F	0	0	1	0	0	0	0	1	0	283.581	0	0	0	10.218	1	0	0	0	0	0
19	F17	F	100	0	0	0	0	0	0	0	0	0	0	0	0	300.304	0	2	0	0	0	0
19	F17	F	50	0	0	0	0	0	0	0	0	0	0	0	0	299.595	0	0	0	0	0	0
19	F17	F	0	0	0	0	0	0	0	0	0	0	0	0	0	300.8	0	0	0	0	0	0
20	F04	F	100	0	0	0	0	0	3	0	0	0	0	0	0	294.697	3	0	0	0	0	0
20	F04	F	50	0	0	0	0	0	2	0	0	0	0	0	0	293.991	7	1	0	0	0	0
20	F04	F	0	0	0	0	0	0	0	0	0	0	0	0	0	231.129	0	0	0	0	60.827	0
