ID	Name	Sex	Treatment	t_limp	n_limb	n_bat	n_abeb	n_trec	n_and	n_vooc	n_pulp	n_darp	t_com	t_for	n_def	t_beb	n_empg	t_obs	n_pulo	n_estp	t_cant	n_vocc	t_rel	n_conf
9	M09	M	75	0	0	0	0	1	0	0	1	0	0	0	0	0	1	248.946	2	3	0	4	20.028	0
9	M09	M	50	0	0	0	2	0	0	0	0	0	0	0	0	0	0	191.496	0	2	0	0	75.388	0
9	M09	M	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	242.843	0	1	0	0	32.43	0
10	M11	M	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.778	0	0	0	0	96.694	0
10	M11	M	90	2.492	1	0	0	3	1	0	27	1	0	0	0	0	0	224.024	12	10	0	0	1.808	0
10	M11	M	75	10.417	0	0	0	0	0	0	6	2	0	0	0	0	0	255.946	0	3	0	0	0	0
10	M11	M	50	9.012	0	0	0	2	1	0	0	0	0	0	0	0	0	229.919	0	0	0	0	28.838	0
10	M11	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.659	0	1	0	0	11.423	0
11	M04	M	100	0	0	0	0	0	0	0	0	0	0	0	1	0	0	86.084	0	0	0	0	198.899	0
11	M04	M	90	2.003	9	0	0	0	0	1	1	0	231.719	0	0	0	0	13.017	1	0	0	0	0	0
11	M04	M	75	0	3	0	0	0	1	0	4	0	259.944	0	0	0	0	3.802	3	0	0	0	0	0
11	M04	M	50	0	3	0	0	0	2	1	1	0	228.432	0	0	0	0	29.826	2	0	0	0	0	0
11	M04	M	0	1.099	11	0	8	0	0	3	0	0	59.158	0	0	0	0	54.754	4	0	0	0	65.27	0
12	M07	M	100	0	4	0	0	0	0	14	4	1	164.463	0	0	0	4	61.478	9	0	0	0	0	0
12	M07	M	90	1.305	0	0	6	0	0	1	0	0	0	0	0	0	0	106.297	1	0	0	0	151.66	0
12	M07	M	75	0	0	0	2	0	0	0	0	0	0	0	0	0	0	160.964	0	0	0	0	112.72	0
12	M07	M	50	0	0	0	3	0	0	0	0	0	0	0	0	0	0	192.988	1	1	0	0	76.067	0
12	M07	M	0	0	0	0	0	0	0	0	0	0	287.885	0	0	0	0	0	0	1	0	0	0	0
13	M12	M	100	0	3	0	1	1	0	18	3	0	7.202	0	0	0	0	247.951	13	5	0	32	0	0
13	M12	M	90	6.912	1	0	0	0	0	24	1	0	0	0	0	0	1	223.71	13	3	0	22	0	0
13	M12	M	75	0	0	10	0	0	0	66	14	0	38.239	0	1	0	35	93.694	30	3	0	8	0	0
13	M12	M	50	0	0	2	0	0	0	115	4	0	2.904	0	1	0	29	93.617	45	4	0	13	0	0
13	M12	M	0	0	0	0	3	1	0	3	1	0	0	0	0	0	0	235.844	1	1	0	3	19.81	0
14	F15	F	100	0	0	0	0	0	0	12	0	0	0	0	0	0	0	253.882	11	17	0	0	0	0
14	F15	F	90	0	0	0	2	1	2	3	0	0	0	0	0	0	0	275.015	2	14	0	0	0	0
14	F15	F	75	0	0	0	1	0	0	5	0	0	6.497	0	0	0	1	271.42	5	9	0	3	0	0
14	F15	F	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287.508	0	1	0	0	0	0
14	F15	F	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	288.857	0	5	0	0	0	0
15	F03	F	100	0	0	0	0	0	0	0	0	0	0	0	0	0	1	275.476	7	6	0	0	0	0
15	F03	F	90	0	0	0	9	0	0	6	6	0	0	0	0	0	0	277.177	5	2	0	0	0	0
15	F03	F	75	0	0	0	3	0	0	0	0	0	0	0	0	0	0	234.141	0	0	0	0	42.136	0
15	F03	F	50	0	0	0	2	0	0	0	1	0	0	0	0	0	0	253.041	1	0	0	0	19.125	0
15	F03	F	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	255.053	0	0	0	0	24.915	0
16	F10	F	100	0	0	0	1	0	0	20	0	1	0	0	0	0	0	241.939	28	8	0	0	0	0
16	F10	F	90	0	2	0	1	0	0	22	0	3	7.309	0	1	0	0	231.649	31	9	0	0	0	0
16	F10	F	75	0	0	0	0	1	0	3	0	0	0	0	0	0	0	281.681	34	1	0	0	0	0
16	F10	F	50	0	1	0	1	1	0	2	0	0	0	0	0	0	0	284.688	33	6	0	0	0	0
16	F10	F	0	0	0	0	0	0	0	4	4	0	88.791	0	0	0	0	180.885	21	5	0	0	0	0
17	F14	F	100	0	1	1	0	1	0	12	8	0	0	2.735	1	0	6	214.464	25	10	0	13	0	0
17	F14	F	90	0	1	0	0	1	0	44	11	0	0	0	0	0	1	170.384	25	17	0	4	0	0
17	F14	F	75	0.742	0	0	0	1	0	69	6	0	32.929	0	0	0	3	116.493	49	14	0	5	0	0
17	F14	F	50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	259.791	0	3	0	0	20.848	0
17	F14	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226.057	0	1	0	0	49.248	0
18	F08	F	100	0	0	0	0	0	0	25	2	0	96.491	0	0	0	0	104.719	34	2	0	11	0	0
18	F08	F	90	0	0	0	1	0	0	0	0	0	0	0	0	0	0	219.225	0	2	0	0	52.253	0
18	F08	F	75	0	0	0	0	0	0	22	3	0	117.016	0	0	0	0	81.571	33	4	0	20	0	0
18	F08	F	50	0.907	0	0	0	0	0	1	6	0	51.655	0	0	0	1	218.119	18	3	0	5	0	0
18	F08	F	0	0	0	0	0	0	0	11	12	0	130.328	0	0	0	0	103.794	38	4	0	10	0	0
19	F09	F	100	0	0	0	0	3	0	15	7	0	0	7.205	0	0	5	215.399	25	1	0	0	0	0
19	F09	F	90	0.999	0	0	0	0	0	0	0	0	227.626	0	0	0	0	50.954	0	1	0	0	0	0
19	F09	F	75	109.402	1	0	0	30	0	9	7	0	0	0	0	0	5	112.597	14	2	0	1	0	0
19	F09	F	50	3.107	0	1	0	6	2	43	41	1	0	0	0	0	5	160.849	41	1	0	0	0	0
19	F09	F	0	0	0	0	0	3	0	46	47	1	29.433	0	0	0	1	114.724	40	2	0	1	0	0
20	F13	F	100	1.495	0	0	0	0	0	7	73	0	32.917	0	0	0	10	137.354	18	8	0	3	0	0
20	F13	F	90	0	0	1	0	0	0	20	56	0	0	0	0	0	16	182.487	11	2	0	0	0	0
20	F13	F	75	0.981	3	0	5	0	0	19	159	0	9.481	0	0	0	12	94.4	5	4	0	1	0	0
20	F13	F	50	0	0	1	0	1	0	2	134	0	0	0	1	0	28	148.644	18	3	0	2	0	0
20	F13	F	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	285.603	0	1	0	0	0	0
21	F11	F	100	0	0	0	0	0	0	7	3	0	181.681	0	0	0	2	89.285	7	2	0	10	0	0
21	F11	F	90	0.687	0	1	0	0	0	20	5	2	0	0	0	0	8	226.921	13	10	0	17	0	0
21	F11	F	75	0	0	0	0	1	0	2	4	0	85.492	0	0	0	1	180.875	6	4	0	2	3.305	0
21	F11	F	50	0	0	0	0	0	0	12	10	0	50.749	0	0	0	2	171.262	16	9	0	10	7.211	0
21	F11	F	0	0	0	0	0	0	0	41	9	3	0	0	0	0	15	180.723	28	7	0	5	0	0
22	F17	F	100	0.798	1	0	0	0	0	0	21	0	163.474	0	0	0	0	78.273	11	1	0	0	0	0
22	F17	F	90	0	0	0	2	1	0	0	0	0	0	0	0	0	0	240.438	0	0	0	0	28.227	0
22	F17	F	75	1.002	1	0	1	1	0	0	0	0	0	0	0	0	0	245.758	0	0	0	0	18.414	0
22	F17	F	50	12.917	8	0	1	3	1	2	26	1	15.716	0	0	0	0	193.899	20	2	0	0	0	0
22	F17	F	0	0	6	1	5	2	0	1	20	1	33.032	0	1	0	0	174.181	24	3	0	0	0	0
23	F04	F	100	0	0	0	2	0	0	0	0	0	0	0	0	0	0	209.994	0	0	0	0	60.72	0
23	F04	F	90	0	0	0	3	0	0	0	0	0	0	0	0	0	0	234.39	0	1	0	0	40.435	0
23	F04	F	75	0	0	2	0	0	0	0	0	0	0	0	0	0	0	231.085	0	0	0	0	43.728	0
23	F04	F	50	10.862	0	0	0	0	0	0	0	0	0	0	0	0	0	287.49	0	1	0	0	0	0
23	F04	F	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	280.047	1	0	0	0	5.754	0
